trip_year,Taxi Affiliation Services,Flash Cab,Dispatch Taxi Affiliation,Blue Ribbon Taxi Association Inc,Yellow Cab,,
2013,7855522,265990,2909871,1895390,6,,
2014,9901938,3381631,2774464,2036946,1453316,,
2015,8145253,1,2262200,1778860,3194629,,
2016,5275090,4445083,1745274,1393228,2839587,,
2017,2177844,3414415,721515,1007133,1824237,,
2018,2542697,2843474,16642,921818,754893,,
2019,3597320,2473487,1,793299,2189,,
2020,1053748,900250,1,162293,1,,
2021,1054465,1124441,1,119175,1,,
2022,642950,750619,1,36990,1,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
